addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
11-я Красноармейская ул.;14;0.0;А;Адмиралтейский;1909;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";9040;30.508036;59.97759300000001;5.0;109;0.03273524032449443;0.36713286713286714;0.6328671328671329
пос. Понтонный, Александра Товпеко ул.;11;0.0;А;Колпинский;1963;"ООО ""Гарант-Сервис""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";4875;30.242916;59.859185;1.0;55;0.16880099373593394;0.17832167832167833;0.8216783216783217
Красного Курсанта ул.;25;0.0;А;Петроградский;1917;"УК ООО ""Жилкомсервис №2 Петроградского района""";2019;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";12043;30.419246;59.976022;3.0;101;0.05718143237589401;0.33916083916083917;0.6608391608391608
Культуры пр.;6;1.0;А;Выборгский;1992;"Открытое акционерное общество ""Сити Сервис""";2020;Ремонт конструкций и замена покрытий крыш;2180;30.315868;59.939095;2.0;26;0.1543703789439501;0.07692307692307693;0.9230769230769231
Седова ул.;87;4.0;В;Невский;1960;"ООО ""Жилкомсервис № 2 Невского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";11567;29.527013;60.205433;2.0;58;0.10592638323541827;0.1888111888111888;0.8111888111888113
Ленинский пр.;125;4.0;А;Кировский;1962;"Общество с ограниченной ответственностью ""Жилкомсервис № 1 Кировского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения";5807;30.360748;60.014338;4.0;56;0.060067162940792396;0.18181818181818182;0.8181818181818181
Турку ул.;8;1.0;А;Фрунзенский;1969;"ООО ""Жилкомсервис № 2 Фрунзенского района""";2020;"Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";16137;30.077581;59.744519;8.0;49;0.030673400658067465;0.15734265734265734;0.8426573426573427
Лазо ул.;9;0.0;А;Красногвардейский;1956;"ООО ""Жилкомсервис  №2 Красногвардейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш";13971;30.39828;60.014985;3.0;62;0.07401476460298675;0.20279720279720279;0.7972027972027972
Дыбенко ул.;15;2.0;Б;Невский;1973;ЖСК-619;2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";21480;;;1.0;45;0.18535890486121956;0.14335664335664336;0.8566433566433567
Садовая ул.;84;0.0;А,Б;Адмиралтейский;1898;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Асфальтирование и замощение придомовой территории; Расходы на изготовление проектно-сметной документации";15378;30.440851;59.871839;7.0;120;0.020257676585402288;0.40559440559440557;0.5944055944055944
Большая Зеленина ул.;39;0.0;Б;Петроградский;1875;"ООО ""ЖКС №2 Петроградского района""";2019;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Капитальный ремонт лифтов (с заменой крупных узлов)";19874;30.242907;59.841111;3.0;143;0.04707083729862893;0.486013986013986;0.513986013986014
Диагональная ул.;10;0.0;Д;Выборгский;1926;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского раойна;2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы отопления";14281;30.288946000000006;59.94250200000001;5.0;92;0.03627722757828264;0.3076923076923077;0.6923076923076923
